Date,IDs/Matrilines,Min. Group Size,First Sighting Location,First Sighting Latitude,First Sighting Longitude,First Sighting Time,First Sighting Direction,End Sighting Location,End Sighting Latitude,End Sighting Longitude,End Sighting Time,End Sighting Direction
1/2/2024,"T18, T19, T19B, T19C",4,Dodd Narrows,49.13283333,-123.814,10:50,NW,Pipers Lagoon,49.24,-123.9206667,13:00,N
1/13/2024,"T19B, T19C +",15,Yeo Islands,49.3025,-124.1396667,10:00,NW,Lambert Channel,,,16:30,N
1/23/2024,"T18, T19, T19B, T19C",4,"South of American Camp, SJI",48.4305,-123.0211667,11:05,NW,Spieden Channel,49.04866667,-123.2146667,15:25,E
1/25/2024,"T18, T19, T19B, T19C",4,Henrietta Point,50.64316667,-125.128,14:25,N,SAME*,,,,
2/16/2024,"T18, T19, T19B, T19C, T60D, T60E",6,Stuart Island,48.6795,-123.2443333,11:40,N,"Deep Cove, N Saanich Inlet",48.679,-123.4996667,15:20,SW
2/17/2024,"T18, T19, T19B, T19C, T60D, T60E",6,Rosario Strait,48.54033333,-122.738,11:20,S,East of Hein Bank,48.3645,-123.0231667,15:30,W
2/18/2024,"T18, T19, T19B, T19C",4,Beaver Point,48.76116667,-123.3698333,13:10,N,E of Ruckle Provincial Park,48.77316667,-123.3506667,16:05,NDG
2/19/2024,"T18, T19, T19B, T19C",4,Joan Point Park,49.13683333,-123.8183333,12:10,NW,SAME,,,,
2/20/2024,"T18, T19, T19B, T19C",4,Qualicum Beach,49.361,-124.4413333,9:45,M,Lambert Channel,,,16:55,N
2/27/2024,"T18, T19, T19B, T19C",4,East Sooke Park,48.28133333,-123.7095,11:05,E,East Sooke Park,48.294,-123.6536667,11:50,E
3/2/2024,"(T18), T19, T19B, T19C, T60D, T60E",6,East of Race Rocks,48.30616667,-123.4173333,14:00,NE,Between Trial and Discovery,48.37433333,-123.2656667,16:00,NE
3/5/2024,"T18, T19, T19B, T19C",4,"Norris Rocks, Hornby Island",49.47683333,-124.6378333,8:00,S,Outside Nanoose Bay,,,17:05,E
3/7/2024,"T18, T19, T19B, T19C, T49A1, T49A3 +?",6,Neck Point,49.262,-123.9533333,15:00,N,Lantzville,49.28683333,-124.0515,17:30,NW
3/10/2024,"T18, T19, T19B, T19C; (124A2s?) (T90s?)",8,Lambert Channel,49.49683333,-124.6955,11:00,NW,SAME,,,,
3/19/2024,"T19, T19B, T19C",3,Off William Head,48.307,-123.4881667,13:35,SW,South of East Sooke Park,48.27183333,-123.7,15:25,SW
3/25/2024,"T19, T19B, T19C",3,Race Rocks,48.2885,-123.5285,10:35,E,South of Victoria near the border,48.27983333,-123.3958333,12:00,E
3/26/2024,"T18, T19, T19B, T19C, T49A, T49A3, T49A4, T49A5, T49A6",9,Limestone Point,48.62483333,-123.1036667,11:50,W,South of Flattop,48.63316667,-123.0763333,17:00,M
3/27/2024,"T18, T19, T19B, T19C, T49A, T49A3, T49A4, T49A5, T49A6",9,Thatcher Pass,48.5275,-122.8035,9:10,NW,Spieden Channel,48.63216667,-123.1308333,19:00,NW
3/29/2024,"T19, T19B",2,South of Clover Point,48.34066667,-123.3571667,10:30,W,Muir Creek,48.34733333,-123.8658333,15:00,W
3/29/2024,"T18, T19C",2,East Sooke Park,48.29416667,-123.6628333,12:50,W,Muir Creek,48.34733333,-123.8658333,15:00,W
4/5/2024,"T18, T19C",2,Brentwood Bay,48.578,-123.477,8:50,N,Off Gordon Head,48.51466667,-123.2763333,16:45,SE
4/5/2024,"T19, T19B",2,Outside Friday Harbor,48.546,-122.9885,10:15,NW,Moresby Passage,48.69466667,-123.3308333,16:40,N
4/6/2024,"T18, T19, T19B, T19C",4,Porlier Pass,49.02016667,-123.5845,14:00,N,Flat Top Islands,49.142,-123.623,15:40,N
4/7/2024,"T18, T19C, T63, T65",4,Trail Islands,49.442,-123.7958333,9:50,E,Hurt Island,49.67483333,-123.6595,17:25,SW
4/10/2024,T19B (+?),1+,E of Robert's Creek Pier,49.392,-123.613,17:10,E,E of Bonniebrook Beach,49.631,-123.9205,NTG,E
4/13/2024,"T18, T19, T19B, T19C, +",6,"Rendezvous Islands, BC",50.26166667,-125.0551667,14:50,SE,"W of Coulter Island, BC",50.14216667,-125.0596667,16:35,S
4/17/2024,"T19, T19B, T71B1, T71B2, T86A3, T86A3A, T124A2, T124A2A, T124A2B",9,Powell River,49.8325,-124.5418333,18:15,S,Grief Point,49.78483333,-124.538,18:45,SE
4/19/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,Friday Harbor,48.55066667,-122.9908333,9:55,M,Cape San Juan,,,20:10,N
4/20/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,Point Lawrence,48.663,-122.7416667,11:20,M,"Turn Island, San Juan Channel",,,18:15,M
4/21/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,Brooks Point,48.7295,-123.1666667,9:50,E,North of Patos Island,48.81,-122.9596667,16:05,M
4/23/2024,"T19, T19B, T49A, T49A1, T49A3, T49A4, T49A5, T49A6",8,SE of Discovery Island,48.39466667,-123.2043333,10:10,N,Point Disney,48.66666667,-123.0556667,17:15,NE
4/23/2024,"T18, T19C",2,Cape Mudge,49.987,-125.1673333,12:10,NW,Cape Mudge,,,12:20,S
4/26/2024,"T18, T19C, T86A, T86A1, T86A1B, T86A4, T86A5",7,Sansum Narrows,48.81416667,-123.58,9:35,S,Piers Island,48.71766667,-123.4143333,12:15,NE
4/26/2024,"T19, T19B, T36A, T36A1, T36A1A, T36A2, T36A3, T36A5, T49A, T49A1, T49A3, T49A4, T49A5, T49A6",14,Point Doughty,48.70416667,-122.9553333,11:00,SW,Friday Harbor Labs,48.55183333,-123.0035,20:40,SE
4/27/2024,"T19, T19B, T49A, T49A1, T49A3, T49A4, T49A5, T49A6",8,"West of Sandy Point, Waldron",48.69883333,-123.1228333,11:20,M,Between McCracken Point and Spieden,48.63683333,-123.1755,16:55,NE
4/27/2024,"T18, T19C, T86A, T86A1, T86A1B, T86A4, T86A5",7,Moorecroft Regional Park,49.31,-124.1703333,12:55,NW,Beachcomber,,,13:40,M
4/28/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6, T65B, T65B1, T65B2, T65B3",11,Lime Kiln,48.51766667,-123.1593333,10:55,S,SE of D'Arcy,48.54783333,-123.2423333,12:25,NW
4/30/2024,"T19, T19B, T36A, T36A1, T36A1A, T36A2, T36A3, T36A5, T49A, T49A3, T49A4, T49A5, T49A6, T86A3, T86A3A",13,East of Active Pass,48.911,-123.1933333,6:50,SE,Between Lummi and Sinclair,48.64183333,-122.6488333,16:20,S
5/1/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,New Channel,48.64733333,-123.1415,10:55,NW,Green Point,,,20:05,NW
5/2/2024,"T19, T19B, T49A, T49A1, T49A3, T49A4, T49A5, T49A6",7,Parker Reef,48.76783333,-122.8691667,15:30,S,SAME,,,,
5/3/2024,"T18, T19C, T63, T65, T86A, T86A1, T86A1B, T86A4, T86A5, T101, T101A, T101B, T124A, T124A1, T124A1A, T124A4, T124A4A, T124A6, T124A7, T124D, T124D1, T124D3",22,"Nootka Street, Powell River",49.82233333,-124.5406667,8:10,S,Myrtle Rocks,,,9:15,S
5/3/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,Green Point,48.63483333,-123.1028333,11:40,SW,Moresby Passage,48.6965,-123.3123333,16:50,NW
5/4/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,Spieden Channel,48.63,-123.1266667,9:25,M,Monarch Head,48.77183333,-123.0853333,17:15,NE
5/5/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,NW of Henry Island,48.64566667,-123.2471667,11:10,N,N of Patos Island,48.8235,-122.9741667,15:50,NW
5/7/2024,"T18, T19C, T63, T65, T71B1, T71B2, T86A3, T86A3A, T87, T124A, T124A1, T124A1A, T124A4, T124A4A, T124A6, T124A7, T124A2, T124A2A, T124A2B",19,S of Tsawwassen Ferry Terminal,48.95866667,-123.1373333,15:10,S,SE Strait of Georgia,48.9015,-122.936,17:20,SE
5/8/2024,"T18, T19C, T63, T65",4,"Willis Pt., Saanich Inlet",48.57566667,#VALUE!,7:00,NDG,N of Shoal Island,48.90033333,-123.6346667,16:15,N
5/13/2024,"T19, T19B, T49A, T49A1, T49A3, T49A4, T49A5, T49A6",8,South of Lime Kiln,48.5015,-123.1546667,17:45,NDG,Hannah Heights,48.4885,-123.1201667,19:00,S
5/14/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,James Island,48.52116667,-122.77,12:10,M,East of Thatcher Pass,48.5185,-122.751,17:05,W
5/15/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,Tsawwassen,48.97883333,-123.1708333,11:15,W,Otter Bay,48.80266667,-123.3376667,16:50,S
5/16/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,North of Point Caution,48.57633333,-123.024,9:45,NW,West of Spieden Island,48.64616667,-123.182,12:10,NW
5/17/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,East side of Valdes Island,49.1,-123.6166667,16:45,S,East side of Valdes,49.06983333,-123.5948333,17:35,SE
5/20/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,Rathrevor,49.32516667,-124.249,10:00,N,Qualicum Bay,,,15:10,N
5/24/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,Sechelt,49.45533333,-123.7596667,11:10,N,Merry Island,49.4445,-123.9243333,14:05,NW
5/25/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6",7,Nanoose Bay,49.2635,-124.0935,7:25,W,49 20.05 -124 15.54,49.28383333,-124.1116667,13:50,N
5/28/2024,"T19, T19B, T49A2",3,Ruth Island,49.2805,-124.1166667,9:05,N,French Creek,,,11:55,NW
5/29/2024,"T19, T19B, T49A, T49A3, T49A4, T49A5, T49A6, T137, T137A, T137B, T137D",11,Southeast of Rebecca Spit,50.08633333,-125.1635,10:50,S,Hornsby Island,,,21:20,SE
5/30/2024,"T19, T19B, T49A, T49A2, T49A3, T49A4, T49A5, T49A6",8,San Juan Channel,48.54216667,-122.9936667,15:55,E,McArthur Bank,48.3945,-122.835,20:10,E
5/31/2024,"T19, T19B, T49A2",3,Smugglers Cove,48.56733333,-123.186,11:50,N,East Point,48.80533333,-123.0151667,18:40,N
6/5/2024,"T19, T19B",2,Marina Island,50.0795,-125.0991667,13:40,S,South of Mittlenatch,49.9365,-124.9693333,16:10,S
6/6/2024,"T19, T19B +",4,Campbell River,50.0355,-125.2295,19:20,N,Duncan Bay,,,19:45,N
8/22/2024,"T18, T19, T19B, T19C",4,Active Pass,48.85933333,-123.3291667,14:35,W,Gowlland Point,,,NTG,W
8/23/2024,"T19, T19B, T19C",3,Mid-Haro off Lime Kiln,48.5095,-123.2036667,12:15,SE,South of Discovery near the border,48.32716667,-123.2016667,15:35,SW
8/23/2024,T18,1,Mid-Haro off Lime Kiln,48.5095,-123.2036667,12:15,SE,South of Pender,48.7175,-123.2451667,17:35,N
8/24/2024,"T18, T19, T19B, T19C",4,Albert Head,48.34266667,-123.4338333,9:45,SW,East Sooke Park,48.29933333,-123.6381667,13:30,W
8/25/2024,"T18, T19, T19B, T19C",4,Otter Point,48.3415,-123.8291667,9:35,E,South Beach,48.4535,-123.0018333,20:00,E
8/26/2024,T18,1,Sidney Spit,48.6445,-123.3536667,12:15,M,Sidney Channel,48.61683333,-123.3395,13:30,M
8/27/2024,"T19, T19B, T19C",3,North of Matia,48.76633333,-122.8485,11:25,SE,Wasp Passage,48.585,-123.0235,19:55,N
8/28/2024,"T19, T19B, T19C",3,"Stuart Channel, BC",49.0085,-123.7338333,13:00,N,Stephenson Point,,,15:40,NW
8/29/2024,"T19, T19B, T19C, T23D, T23D3, T23D4, T23D5",7,Dodd Narrows,49.12933333,-123.8083333,12:40,SE,Yellow Point,49.042,-123.7166667,16:30,NW
8/29/2024,T18,1,Howe Island,50.3475,-125.4005,10:35,S,Campbell River,50.0465,-125.2405,14:45,S
8/30/2024,"T19, T19B, T19C, T23, T23D, T23D3, T23D4, T23D5, T36, T36B, T36B1, T36B2, T36B4, T137, T137A, T137B, T137D",17,Offshore of Fillinger,49.286,-124.0055,7:30,E,Flattop Islands,49.164,-123.6923333,11:20,SE
8/31/2024,"T19, T19B, T19C",3,Salmon Bank,48.42933333,-122.9801667,10:10,NE,South of Cherry Point,48.83033333,-122.7648333,18:15,NW
9/2/2024,"(T18), T19, T19B, T19C",4,Mitlenatch Island,49.9435,-125.0168333,16:45,NW,N of Mitlenatch,49.954,-125.0095,17:15,N
9/4/2024,"T19, T19B, T19C",3,Gordon Head,48.4915,-123.2676667,15:05,SW,SE of Victoria,48.3515,-123.2913333,18:15,SW
9/5/2024,"T19, T19B, T19C",3,Landbank,48.83566667,-123.234,6:00,SE,Waldron,48.72866667,-123.0046667,19:00,NDG
9/6/2024,"T19, T19B, T19C, T49A, T49A3, T49A4, T49A5, T49A6",8,Spieden Channel,48.6355,-123.1431667,9:15,W,Camp Orkila,48.70583333,-122.9611667,17:00,E
9/7/2024,"T19, T19B, T19C, T49A, T49A3, T49A4, T49A5, T49A6",8,SE side of S Pender Island,48.72883333,-123.1973333,12:35,NSG,Pointing at Pt. Bob,48.87366667,-123.2523333,17:30,E
9/8/2024,"T19, T19B, T19C, T49A, T49A3, T49A4, T49A5, T49A6",8,Limestone Point,48.619,-123.0918333,7:15,SE,"South end of Stuart Island, WA",48.659,-123.1713333,18:15,W
9/9/2024,"T19, T19B, T19C, T49A, T49A3, T49A4, T49A5, T49A6",8,Eagle Point,48.45516667,-123.0383333,16:25,NW,Open Bay,,,20:00,M
9/10/2024,"T19, T19B, T19C",3,South of Thieves Bay,48.76233333,-123.3278333,10:55,N,Dinner Bay,48.83816667,-123.333,19:05,NW
9/11/2024,"T19, T19B, T19C",3,Leech Island,48.99033333,-123.6393333,12:40,M,Duke Point,49.17883333,-123.896,16:40,NW
9/12/2024,"T19, T19B, T19C",3,South of Sechelt,49.33566667,-123.7308333,17:55,S,South of Roberts Creek,49.28766667,-123.6333333,19:05,E
9/13/2024,"T19, T19B, T19C +",6,Between Nanaimo and Horsehoe Bay,49.25316667,-123.5871667,11:35,W,Between Nanaimo and Horsehoe Bay,49.2665,-123.682,12:30,W
9/18/2024,"(T19, T19B, T19C)",3,North side of Sucia,48.7665,-122.8786667,15:50,SE,South side of Sucia,48.73533333,-122.8915,16:25,SE
9/19/2024,"T19, T19B, T19C",3,Fay Bainbridge Park,47.70666667,-122.492,10:40,S,Point Fosdick,,,19:20,S
9/20/2024,"T19, T19B, T19C",3,SE side of Fox Island,47.20533333,-122.597,8:05,N,Apple Tree Point,,,19:15,N
9/21/2024,"T19, T19B, T19C, T60D, T60E",5,Otter Point,48.32316667,-123.8455,10:35,W,East Sooke Park,48.30816667,-123.694,18:20,E
9/22/2024,"T11A, T19, T19B, T19C, T46B, T46B2, T46B2B, T46B3, T46B4, T46B6, T46B7; T46B1, T46B1A, T46B1C, T46C2, T49A, T49A1, T49A3, T49A4, T49A5, T49A6",21,Southeast of Race Rocks,48.25833333,-123.4843333,10:45,M,South of French Beach,48.33016667,-123.9673333,16:10,M
9/23/2024,"T11A, T19, T19B, T19C, T46B, T46B2, T46B2B, T46B3, T46B4, T46B6, T46B7; T46B1, T46B1A, T46B1C, T46C2 +?",15,SW of Otter Point,48.3195,-123.8703333,10:20,W,South of Mystic Beach,48.38433333,-124.1308333,12:15,W
9/27/2024,"T19, T19B, T19C",3,"Pat Bay, Saanich Inlet",48.64766667,-123.4695,10:55,M,Sansum Narrows,48.78716667,-123.5556667,16:15,N
9/28/2024,"T19, T19B, T19C, T36, T36B, T36B1, T36B2, T36B4, T60D, T60E",10,Hall Island,48.98966667,-123.6028333,15:00,N,Northumberland Channel,49.14066667,-123.8298333,19:10,NW
9/30/2024,"T19, T19B, T19C",3,Seymour Narrows,50.127,-125.3465,8:50,N,South of Mittlenatch,49.90733333,-125.0206667,14:45,SE
10/1/2024,"T19, T19B, T19C",3,Orlebar Point,49.20816667,-123.8195,10:10,SE,North of Galiano,48.95283333,-123.4183333,15:40,SE
10/2/2024,"T19C, T46B1, T46B1A, T46B1C, T46C2",5,East Sooke Park,48.2755,-123.649,10:55,E,North of Dungeness Spit,48.22783333,-123.4741667,17:50,M
10/2/2024,"T19, T19B",2,East Sooke Park,48.2755,-123.649,10:55,E,East of Race Rocks,48.2885,-123.4385,14:45,W
10/3/2024,"T19, T19B, T19C",3,NW of Race Rocks,48.30566667,-123.5611667,12:00,E,Discovery Island,48.40866667,-123.1931667,15:50,E
10/5/2024,"T19, T19B, T19C",3,Race Rocks,48.27983333,-123.5205,11:30,W,South of Jordan River,48.347,-124.037,17:10,E
10/6/2024,"T19, T19B, T19C",3,"County Park, SJI",48.54,-123.1726667,9:00,N,"E of Mill Bay, Saanich Inlet",48.6545,-123.5126667,16:15,S
10/7/2024,"T19, T19B, T19C, T60D, T60E",5,Westside Preserve,48.50383333,-123.1558333,14:45,S,"S of Fisherman Bay, Lopez",48.83,-123.5735,18:30,SE
10/8/2024,"T19, T19B, T19C",3,Between Whaleboat Island & Valdez Island,49.07133333,-123.6733333,13:30,NW,NE of Neck Point Park,49.2545,-123.9365,17:25,NW
10/13/2024,"T19, T19B, T19C",3,Discovery Passage,50.22816667,-125.3873333,10:10,S,Campbell River,50.04216667,-125.2358333,12:20,S
10/14/2024,"T19, T19B, T19C",3,Point Grey,49.24633333,-123.3776667,12:25,SE,Trincomali,48.97433333,-123.5815,17:50,SE
10/16/2024,"T19, T19B, T19C",3,Spieden Channel,48.62783333,-123.13,10:35,E,Orcas Ferry Landing,48.5925,-122.9498333,16:00,W
10/17/2024,"T19, T19B, T19C",3,West side of Shaw,48.566,-123.0006667,9:40,M,Blunden,48.7325,-123.1483333,15:30,M
11/20/2024,"T19, T19B, T19C, T65B, T65B1, T65B2, T65B3",7,Northumberland Channel,49.14783333,-123.8605,12:25,M,South of Snake Island,,,13:30,N
11/27/2024,"T19, T19B, T19C, T49A, T49A3, T49A4, T49A5, T49A6",8,Pedder Bay,48.32466667,-123.5126667,8:55,W,South of Sooke,48.28766667,-123.7328333,12:55,W
11/28/2024,"T19, T19B, T19C, T60D, T60E",5,East Sooke Park,48.306,-123.6298333,13:35,E,Becher Bay,48.30666667,-123.6105,13:55,E
11/30/2024,"T19, T19B, T19C, T65B, T65B1, T65B2, T65B3",7,Northumberland Channel,49.14933333,-123.8645,10:15,SE,Dodd Narrows,49.12366667,-123.7983333,11:40,SE
