Date,IDs/Matrilines,Min. Group Size,First Sighting Location,First Sighting Latitude,First Sighting Longitude,First Sighting Time,First Sighting Direction,End Sighting Location,End Sighting Latitude,End Sighting Longitude,End Sighting Time,End Sighting Direction
1/1/2023,"T18s, T35As, T38As, T49As (all)",18,Lambert Channel,49.529,-124.7256667,10:45,N,Point Holmes,49.66533333,-124.839,13:10,M
1/17/2023,"T18s, T60D, T60E",6,Navy Channel,48.81683333,-123.2791667,11:45,NW,Between Prevost and Galiano,48.85166667,-123.3725,14:30,NW
1/18/2023,"T18s, T60D, T60E",6,Round Island,49.11366667,-123.7836667,13:30,M,Hudson Rocks,,,15:45,N
2/1/2023,T18s +,7,Bird Rocks,48.49566667,-122.7483333,10:05,N,SAME,,,,
2/27/2023,T18s,4,Orlebar Point,49.2025,-123.8136667,11:10,N,Mistaken Island,,,14:20,N
3/8/2023,"T19, T19B, T49As (no A1 or A2)",7,Reid Island,48.99683333,-123.6001667,9:30,N,SAME,,,,
3/9/2023,"T19, T19B, T49As (no A1 or A2)",7,Lambert Channel,49.52583333,-124.724,18:00,S,SAME,,,,
3/18/2023,"(T19, T19B)",2,Tyee Spit,50.05383333,-125.249,17:00,S,SAME,,,,
3/21/2023,"T19, T19B",2,Crofton-Vesuvius Ferry,48.873,-123.5938333,11:50,S,Maple Bay,48.817,-123.5841667,13:20,N
3/23/2023,"T19, T19B, T34s, T37, T37Bs, T49As (no A2)",15,Turn Point,48.6905,-123.2446667,10:30,N,South of Yellow Island,48.58083333,-123.0323333,18:30,NW
3/24/2023,"T19, T19B, T49As (no A2)",8,Little D'Arcy,48.575,-123.2695,15:40,S,Little D'Arcy,48.5675,-123.2611667,16:00,S
3/25/2023,T19B +,10,Active Pass,48.85966667,-123.3146667,7:30,NE,Active Pass,48.88466667,-123.2883333,7:50,N
3/25/2023,"T18, T19C, T36As, T99s",13,"Fisherman's Wharf, Comox Bay",49.65833333,-124.9358333,13:10,M,Deep Bay,49.46633333,-124.7033333,17:45,SE
3/27/2023,"T19, T19B, T49As (no A2)",8,Northumberland Channel,49.14716667,-123.8506667,14:35,NW,East of Five Fingers,49.26233333,-123.9415,17:00,NW
3/28/2023,"T2Cs, T19, T19B, (T36As), T49As (no A2), T65A5, T87, T99s, T124A2s, T124C",29,Point Holmes,49.68816667,-124.8538333,11:30,M,South of Mittlenatch,49.91283333,-124.9448333,18:45,N
3/30/2023,"T18s, T49As, T99s +",15,Dodd Narrows,49.13083333,-123.8113333,7:35,NW,East of Gabriola,49.2475,-123.645,15:10,SE
3/31/2023,"T18s, T34s, T36As, T37, T37Bs, T49As (no A2), T99s, T123s",32,Turn Point,48.68616667,-123.2616667,11:20,E,Patos,48.78766667,-122.9856667,15:00,E
4/1/2023,T18s,4,Mill Bay,48.6435,-123.4971667,11:45,S,Sansum Narrows,,,20:00,N
4/4/2023,"T18s, T34s, T37, T37Bs, T100s (confirmed T100E back with family), T124A2s",18,Mittlenatch,49.93683333,-124.9871667,9:50,N,Seymour Narrows,50.13416667,-125.3538333,16:30,N
4/23/2023,T18s,4,"Carlson Point, Sechelt Inlet",49.52833333,-123.7828333,13:00,S,Piper Point Provincial Park,49.5435,-123.778,13:50,N
4/25/2023,T18s,4,Porlier Pass,49.01733333,-123.5835,18:15,NDG,East of Valdes Island,49.09333333,-123.5985,18:40,M
4/26/2023,"T18s, T49As (no A1 or A2), T65Bs",13,West of Skipjack,48.718,-123.0903333,12:05,SW,Battleship,48.62583333,-123.1906667,15:30,S
4/27/2023,"T18s, T49As (no A1 or A2)",10,West side of Lummi Island,48.67033333,-122.697,11:15,S,Friday Harbor,48.54666667,-122.9931667,20:00,M
5/8/2023,T18s,4,Baynes Channel,48.43433333,-123.2768333,7:40,N,Point Disney,48.66666667,-123.055,18:45,NE
5/10/2023,T18s,4,Marina Island Reef,50.02316667,-125.0635,8:30,N,North of West Redonda Island,50.30483333,-124.8971667,15:40,E
5/11/2023,T18s,4,Innis Pass,50.3895,-125.1518333,9:55,W,"Lees Bay, West Thurlow Island",50.41616667,-125.6873333,15:40,W
5/15/2023,T18s (no T19C seen),3,North Campbell River,50.0655,-125.2608333,15:00,S,South of Cape Mudge,49.95533333,-125.1445,16:50,S
5/19/2023,T18s (T19C present),4,West of Marina Island,50.052,-125.0823333,NTG,N,Centre Islet,50.1255,-125.0966667,20:15,N
5/20/2023,T18s,4,Kinghorn Island,50.08733333,-124.8636667,12:40,S,Twin Islands,50.0215,-124.8916667,13:55,S
5/25/2023,T18s,4,Gossip Shoal,48.90666667,-123.3145,18:55,SE,Georgina Point,48.87883333,-123.2896667,19:45,SE
5/29/2023,T19C + 1,2,Between Point Holmes and Texada,49.75216667,-124.7346667,17:30,S,Flora Islets,,,NTG,S
